,date,range_high,range_high_time,range_low_time,range_low,range_open,range_close,range_true,orb_high,orb_low,orb_open,orb_close,orb_true,range_conf_direction,range_conf_time,orb_conf_direction,orb_conf_time,box_color,orb_range_direction,max_ret,max_ret_pct,max_ret_time,max_ext,max_ext_pct,max_ext_time,orb_open_touch_time
0,2008-01-02,13342.0,09:40:00,10:15:00,13200.0,13323.0,13230.0,True,13338.0,13322.0,13323.0,13334.0,False,Short,11:10:00,Long,09:40:00,Red,Short,13200.0,8.625,10:15:00,13340.0,0.125,09:45:00,09:55:00
1,2008-01-03,13174.0,10:05:00,09:50:00,13108.0,13138.0,13143.0,False,13150.0,13124.0,13138.0,13141.0,False,Long,12:05:00,Short,09:40:00,Green,Short,13174.0,1.9230769230769231,10:05:00,13108.0,0.6153846153846154,09:50:00,10:00:00
2,2008-01-04,13038.0,09:30:00,10:25:00,12935.0,13022.0,12945.0,True,13038.0,13011.0,13022.0,13017.0,True,Short,10:50:00,Short,09:35:00,Red,Long,13006.0,-0.18518518518518517,10:00:00,12935.0,2.814814814814815,10:25:00,
3,2008-01-07,12934.0,09:45:00,10:25:00,12798.0,12910.0,12805.0,True,12920.0,12903.0,12910.0,12912.0,False,Short,10:30:00,Short,09:35:00,Red,Short,12934.0,1.8235294117647058,09:45:00,12798.0,6.176470588235294,10:25:00,09:45:00
4,2008-01-08,12958.0,10:25:00,09:35:00,12902.0,12918.0,12930.0,True,12933.0,12910.0,12918.0,12910.0,True,Short,11:00:00,Long,09:40:00,Green,Long,12904.0,1.2608695652173914,10:00:00,12958.0,1.0869565217391304,10:25:00,09:55:00
5,2008-01-09,12738.0,10:10:00,09:35:00,12643.0,12668.0,12689.0,False,12678.0,12648.0,12668.0,12649.0,True,Short,11:40:00,Long,09:35:00,Green,Long,12664.0,0.4666666666666667,10:25:00,12738.0,2.0,10:10:00,10:25:00
6,2008-01-10,12786.0,10:20:00,09:40:00,12677.0,12702.0,12763.0,True,12704.0,12682.0,12702.0,12694.0,True,Long,10:30:00,Long,09:35:00,Green,Long,12677.0,1.2272727272727273,09:40:00,12786.0,3.727272727272727,10:20:00,09:40:00
7,2008-01-11,12805.0,09:30:00,10:15:00,12715.0,12799.0,12732.0,True,12805.0,12783.0,12799.0,12791.0,True,Short,12:20:00,Short,09:35:00,Red,Long,12792.0,0.4090909090909091,09:50:00,12715.0,3.090909090909091,10:15:00,
8,2008-01-14,12787.0,09:30:00,09:50:00,12712.0,12773.0,12753.0,True,12787.0,12763.0,12773.0,12766.0,True,Long,13:40:00,Short,09:35:00,Red,Long,12762.0,-0.041666666666666664,10:15:00,12712.0,2.125,09:50:00,
9,2008-01-15,12728.0,09:35:00,10:25:00,12625.0,12684.0,12634.0,True,12722.0,12679.0,12684.0,12722.0,False,Short,10:40:00,Long,09:35:00,Red,Short,12625.0,2.255813953488372,10:25:00,12726.0,0.09302325581395349,09:45:00,10:00:00
10,2008-01-16,12576.0,09:45:00,10:15:00,12466.0,12496.0,12483.0,False,12520.0,12481.0,12496.0,12519.0,False,Short,10:40:00,Long,09:35:00,Red,Short,12466.0,1.3846153846153846,10:15:00,12576.0,1.435897435897436,09:45:00,09:55:00
11,2008-01-17,12549.0,09:50:00,10:20:00,12405.0,12534.0,12426.0,True,12539.0,12512.0,12534.0,12515.0,False,Short,10:30:00,Long,09:55:00,Red,Long,12405.0,4.962962962962963,10:20:00,12544.0,0.18518518518518517,10:00:00,10:00:00
12,2008-01-18,12368.0,10:10:00,09:55:00,12255.0,12273.0,12328.0,True,12296.0,12268.0,12273.0,12291.0,True,Short,11:05:00,Long,09:35:00,Green,Short,12255.0,1.4642857142857142,09:55:00,12368.0,2.5714285714285716,10:10:00,09:50:00
13,2008-01-21,11797.0,09:55:00,10:25:00,11680.0,11767.0,11696.0,True,11773.0,11763.0,11767.0,11769.0,False,Short,10:50:00,Long,09:35:00,Red,Short,11680.0,9.3,10:25:00,11797.0,2.4,09:55:00,09:40:00
14,2008-01-22,11982.0,10:25:00,09:30:00,11614.0,11660.0,11950.0,True,11693.0,11614.0,11660.0,11671.0,True,Long,11:00:00,Long,09:35:00,Green,Short,11715.0,-0.27848101265822783,09:40:00,11982.0,3.6582278481012658,10:25:00,
