,date,range_high,range_high_time,range_low_time,range_low,range_open,range_close,range_true,orb_high,orb_low,orb_open,orb_close,orb_true,range_conf_direction,range_conf_time,orb_conf_direction,orb_conf_time,box_color,orb_range_direction,max_ret,max_ret_pct,max_ret_time,max_ext,max_ext_pct,max_ext_time,orb_open_touch_time
0,2008-01-28,929.1,10:00:00,09:40:00,924.4,926.1,927.2,True,926.4,925.1,926.1,925.5,True,Long,11:00:00,Long,09:50:00,Green,Long,926.2,0.15384615384610675,10:15:00,929.1,2.0769230769231846,10:00:00,
1,2008-01-29,931.0,10:25:00,09:40:00,925.0,930.3,930.7,True,930.3,928.0,930.3,928.6,False,Long,10:55:00,Short,09:35:00,Green,Long,931.0,1.3043478260869823,10:25:00,925.0,1.3043478260869823,09:40:00,10:25:00
2,2008-01-30,925.6,10:10:00,09:45:00,921.1,923.5,924.8,True,924.5,923.3,923.5,923.7,False,Long,10:40:00,Short,09:35:00,Green,Short,925.6,1.916666666666651,10:10:00,921.1,1.833333333333207,09:45:00,09:50:00
3,2008-01-31,929.4,10:00:00,09:30:00,924.1,925.0,926.7,True,925.4,924.1,925.0,924.4,True,Long,11:25:00,Long,09:40:00,Green,Long,924.8,0.46153846153849515,09:45:00,929.4,3.0769230769231846,10:00:00,09:45:00
4,2008-02-01,934.8,09:50:00,10:15:00,908.5,933.7,918.5,True,934.1,932.7,933.7,933.3,False,,,Short,09:35:00,Red,Long,934.8,1.4999999999999594,09:50:00,908.5,17.285714285714597,10:15:00,09:45:00
5,2008-02-04,903.7,10:25:00,09:30:00,896.0,900.4,903.1,True,900.4,896.0,900.4,897.0,True,Long,12:35:00,Long,09:50:00,Green,Long,897.9,0.5681818181818211,10:05:00,903.7,0.7500000000000194,10:25:00,09:55:00
6,2008-02-05,895.0,09:30:00,09:45:00,888.4,894.4,894.2,True,895.0,893.8,894.4,894.3,True,Long,11:20:00,Short,09:35:00,Red,Long,894.5,0.5833333333333491,10:25:00,888.4,4.499999999999811,09:45:00,10:25:00
7,2008-02-06,911.5,10:15:00,09:55:00,904.2,905.3,907.5,True,908.6,905.2,905.3,907.2,False,Short,14:15:00,Short,09:40:00,Green,Short,911.5,1.8529411764705872,10:15:00,904.2,0.2941176470588255,09:55:00,09:45:00
8,2008-02-07,913.5,10:20:00,10:00:00,903.0,904.4,912.1,True,905.5,904.2,904.4,904.2,False,Long,12:45:00,Short,09:50:00,Green,Long,913.5,7.153846153846369,10:20:00,903.0,0.9230769230769903,10:00:00,10:00:00
9,2008-02-08,923.6,10:25:00,09:30:00,914.9,914.9,922.8,True,917.0,914.9,914.9,916.8,True,Long,15:15:00,Long,09:45:00,Green,Short,916.7,0.14285714285711965,09:50:00,923.6,3.1428571428571197,10:25:00,
10,2008-02-11,927.1,09:30:00,10:10:00,920.0,925.0,922.4,True,927.1,924.3,925.0,926.8,True,Long,11:25:00,Short,09:55:00,Red,Short,924.5,0.07142857142858593,10:00:00,920.0,1.535714285714232,10:10:00,
11,2008-02-12,924.5,09:35:00,09:55:00,919.4,923.2,922.4,True,924.4,922.7,923.2,923.2,True,Short,11:15:00,Short,09:45:00,Red,Neutral,923.5,0.47058823529410976,10:10:00,919.4,1.9411764705883534,09:55:00,09:50:00
12,2008-02-13,905.0,09:40:00,10:10:00,901.3,903.9,904.1,True,904.8,903.1,903.9,903.8,True,Long,10:55:00,Short,09:55:00,Green,Long,904.5,0.8235294117647256,10:15:00,901.3,1.0588235294118473,10:10:00,10:00:00
