,date,range_high,range_high_time,range_low_time,range_low,range_open,range_close,range_true,orb_high,orb_low,orb_open,orb_close,orb_true,range_conf_direction,range_conf_time,orb_conf_direction,orb_conf_time,box_color,orb_range_direction,max_ret,max_ret_pct,max_ret_time,max_ext,max_ext_pct,max_ext_time,orb_open_touch_time
0,2008-01-02,2112.75,09:40:00,10:15:00,2095.5,2104.75,2102.75,True,2109.5,2104.0,2104.75,2109.5,False,Short,10:40:00,Long,09:35:00,Red,Green,2095.5,2.5454545454545454,10:15:00,2112.75,0.5909090909090909,09:40:00,10:00:00
1,2008-01-03,2077.0,10:05:00,09:50:00,2058.75,2066.75,2067.75,False,2070.25,2066.5,2066.75,2069.75,False,Long,12:10:00,Long,09:35:00,Green,Green,2058.75,3.066666666666667,09:50:00,2077.0,1.8,10:05:00,09:40:00
2,2008-01-04,2043.5,09:30:00,10:25:00,2020.25,2042.0,2021.75,True,2043.5,2036.5,2042.0,2037.0,True,Short,10:35:00,Short,09:35:00,Red,Red,2039.25,0.39285714285714285,09:50:00,2020.25,2.3214285714285716,10:25:00,09:40:00
3,2008-01-07,1990.25,09:45:00,10:25:00,1955.25,1984.75,1957.25,False,1989.25,1984.5,1984.75,1988.0,True,Short,10:30:00,Short,09:35:00,Red,Green,1990.25,1.2105263157894737,09:45:00,1955.25,6.157894736842105,10:25:00,09:40:00
4,2008-01-08,1998.5,10:25:00,09:35:00,1975.5,1979.25,1992.0,True,1982.5,1977.75,1979.25,1978.25,True,Short,11:30:00,Long,09:50:00,Green,Red,1979.0,0.7368421052631579,10:00:00,1998.5,3.3684210526315788,10:25:00,10:00:00
5,2008-01-09,1949.0,10:10:00,09:35:00,1920.75,1929.75,1939.0,False,1930.5,1924.75,1929.75,1924.75,True,Short,11:50:00,Long,09:35:00,Green,Red,1927.0,0.6086956521739131,10:25:00,1949.0,3.217391304347826,10:10:00,10:20:00
6,2008-01-10,1955.75,10:15:00,09:30:00,1937.0,1941.75,1945.5,True,1943.0,1937.0,1941.75,1940.5,True,Long,12:15:00,Long,09:35:00,Green,Red,1939.5,0.5833333333333334,09:40:00,1955.75,2.125,10:15:00,09:40:00
7,2008-01-11,1956.25,09:30:00,10:05:00,1940.5,1954.0,1942.5,True,1956.25,1950.0,1954.0,1951.25,True,Short,11:00:00,Short,09:55:00,Red,Red,1949.25,-0.12,10:10:00,1940.5,1.52,10:05:00,09:40:00
8,2008-01-14,1956.25,09:30:00,09:40:00,1936.0,1951.75,1951.0,True,1956.25,1948.0,1951.75,1948.5,True,Long,11:05:00,Short,09:35:00,Red,Red,1951.5,0.42424242424242425,10:25:00,1936.0,1.4545454545454546,09:40:00,09:40:00
9,2008-01-15,1944.25,09:35:00,10:25:00,1925.25,1939.25,1928.5,True,1943.75,1937.0,1939.25,1943.75,True,Short,10:40:00,Short,10:00:00,Red,Green,1939.25,0.3333333333333333,10:05:00,1925.25,1.7407407407407407,10:25:00,10:05:00
